Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price ($),Total Revenue ($),Region,Payment Method
10064,03/04/2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card
10065,03/05/2024,Beauty Products,Lancome La Vie Est Belle,1,102.0,102.0,Europe,PayPal
10066,03/06/2024,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card
10067,03/07/2024,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card
10068,03/08/2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
10069,03/09/2024,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card
10070,03/10/2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card
10071,03/11/2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78.0,78.0,Europe,PayPal
10072,03/12/2024,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card
10073,03/13/2024,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card
10074,03/14/2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal
10075,03/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card
10076,03/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card
10077,03/17/2024,Beauty Products,Glossier Boy Brow,2,16.0,32.0,Europe,PayPal
10078,03/18/2024,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card
10079,03/19/2024,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card
10080,03/20/2024,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal
10081,03/21/2024,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card
10082,03/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card
10083,03/23/2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Europe,PayPal
10084,03/24/2024,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card
10085,03/25/2024,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card
10086,03/26/2024,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal
10087,03/27/2024,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card
10088,03/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card
10089,03/29/2024,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,Europe,PayPal
10090,03/30/2024,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card
10091,03/31/2024,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card
10092,04/01/2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal
10093,04/02/2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card
10094,04/03/2024,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card
10095,04/04/2024,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Europe,PayPal
10096,04/05/2024,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card
10097,04/06/2024,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card
10098,04/07/2024,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal
10099,04/08/2024,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card
10100,04/09/2024,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card
10101,04/10/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82.0,82.0,Europe,PayPal
10102,04/11/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card
10103,04/12/2024,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card
10104,04/13/2024,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal
10105,04/14/2024,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card
10106,04/15/2024,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card
10107,04/16/2024,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal
10108,04/17/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card
10109,04/18/2024,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card
10110,04/19/2024,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal
10111,04/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card
10112,04/21/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card
10113,04/22/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15.0,15.0,Europe,PayPal
10114,04/23/2024,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card
10115,04/24/2024,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card
10116,04/25/2024,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal
10117,04/26/2024,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card
10118,04/27/2024,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card
10119,04/28/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal
10120,04/29/2024,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card
10121,04/30/2024,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card
10122,05/01/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal
10123,05/02/2024,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card
10124,05/03/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card
10125,05/04/2024,Beauty Products,NARS Radiant Creamy Concealer,1,30.0,30.0,Europe,PayPal
10126,05/05/2024,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card
10127,05/06/2024,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card
10128,05/07/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal
10129,05/08/2024,Clothing,Lululemon Align Leggings,3,98.0,294.0,Asia,Debit Card
10130,05/09/2024,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card
10131,05/10/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36.0,36.0,Europe,PayPal
10132,05/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card
10133,05/12/2024,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card
10134,05/13/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal
10135,05/14/2024,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card
10136,05/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card
10137,05/16/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal
10138,05/17/2024,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card
10139,05/18/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card
10140,05/19/2024,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal
10141,05/20/2024,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card
10142,05/21/2024,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card
10143,05/22/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal
10144,05/23/2024,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card
10145,05/24/2024,Electronics,Apple AirPods Max,1,549.0,549.0,North America,Credit Card
10146,05/25/2024,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal
10147,05/26/2024,Clothing,Levi's Sherpa Trucker Jacket,2,98.0,196.0,Asia,Debit Card
10148,05/27/2024,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card
10149,05/28/2024,Beauty Products,Laneige Water Sleeping Mask,1,25.0,25.0,Europe,PayPal
10150,05/29/2024,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card
10151,05/30/2024,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card
10152,05/31/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal
10153,06/01/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card
10154,06/02/2024,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card
10155,06/03/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59.0,59.0,Europe,PayPal
10156,06/04/2024,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card
10157,06/05/2024,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card
10158,06/06/2024,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal
10159,06/07/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card
10160,06/08/2024,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card
10161,06/09/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36.0,36.0,Europe,PayPal
10162,06/10/2024,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card
10163,06/11/2024,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card
10164,06/12/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal
10165,06/13/2024,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card
10166,06/14/2024,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card
10167,06/15/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal
10168,06/16/2024,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card
10169,06/17/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card
10170,06/18/2024,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal
10171,06/19/2024,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card
10172,06/20/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card
10173,06/21/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal
10174,06/22/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card
10175,06/23/2024,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card
10176,06/24/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal
10177,06/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card
10178,06/26/2024,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card
10179,06/27/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34.0,68.0,Europe,PayPal
10180,06/28/2024,Sports,Oakley Holbrook Sunglasses,1,146.0,146.0,Asia,Credit Card
10181,06/29/2024,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card
10182,06/30/2024,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal
10183,07/01/2024,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card
10184,07/02/2024,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card
10185,07/03/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190.0,190.0,Europe,PayPal
10186,07/04/2024,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card
10187,07/05/2024,Electronics,Sonos Beam Soundbar,1,399.0,399.0,North America,Credit Card
10188,07/06/2024,Home Appliances,Anova Precision Cooker,2,199.0,398.0,Europe,PayPal
10189,07/07/2024,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card
10190,07/08/2024,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card
10191,07/09/2024,Beauty Products,Glossier Cloud Paint,1,18.0,18.0,Europe,PayPal
10192,07/10/2024,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card
10193,07/11/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card
10194,07/12/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal
10195,07/13/2024,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card
10196,07/14/2024,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card
10197,07/15/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125.0,125.0,Europe,PayPal
10198,07/16/2024,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card
10199,07/17/2024,Electronics,Apple TV 4K,2,179.0,358.0,North America,Credit Card
10200,07/18/2024,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal
10201,07/19/2024,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card
10202,07/20/2024,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card
10203,07/21/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52.0,52.0,Europe,PayPal
10204,07/22/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card
10205,07/23/2024,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card
10206,07/24/2024,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal
10207,07/25/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98.0,196.0,Asia,Debit Card
10208,07/26/2024,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card
10209,07/27/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79.0,79.0,Europe,PayPal
10210,07/28/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129.0,129.0,Asia,Credit Card
10211,07/29/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card
10212,07/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal
10213,07/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card
10214,08/01/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card
10215,08/02/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29.0,58.0,Europe,PayPal
10216,08/03/2024,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card
10217,08/04/2024,Electronics,Apple MacBook Pro 16-inch,1,2399.0,2399.0,North America,Credit Card
10218,08/05/2024,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal
10219,08/06/2024,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card
10220,08/07/2024,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card
10221,08/08/2024,Beauty Products,Tarte Shape Tape Concealer,1,27.0,27.0,Europe,PayPal
10222,08/09/2024,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card
10223,08/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card
10224,08/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal
10225,08/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card
10226,08/13/2024,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card
10227,08/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal
10228,08/15/2024,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card
10229,08/16/2024,Electronics,Google Nest Wifi Router,1,169.0,169.0,North America,Credit Card
10230,08/17/2024,Home Appliances,Anova Precision Oven,1,599.0,599.0,Europe,PayPal
10231,08/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card
10232,08/19/2024,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card
10233,08/20/2024,Beauty Products,Fresh Sugar Lip Treatment,1,24.0,24.0,Europe,PayPal
10234,08/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card
10235,08/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299.0,299.0,North America,Credit Card
10236,08/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal
10237,08/24/2024,Clothing,Nike Air Force 1 Sneakers,3,90.0,270.0,Asia,Debit Card
10238,08/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card
10239,08/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55.0,55.0,Europe,PayPal
10240,08/27/2024,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card
